district,block,elex_gp,lgd_gp,lgd_gp_code,match_distance,tie_count,match_quality
Siddharth Nagar,Itwa,Semra,Semara,88350,0.12222222222222213,2,strict
Sant Kabeer Nagar,Baghauli,Vadhara,Badahra,85684,0.1507936507936509,2,strict
Sant Kabeer Nagar,Khalilabad,Dhaicha,Dhamaicha,85920,0.16931216931216936,2,strict
Gorakhpur,Uruvaon,Varipur,Harpur,67102,0.1507936507936509,2,strict
Gorakhpur,Brahmpur,Jungle Rasoolpur No-,Jungle Rasoolpur No.1,272339,0.016666666666666663,2,strict
Gorakhpur,Pali,Tharuapar,Akuwapar,66777,0.19444444444444453,2,strict
Gorakhpur,Campier,LakshmiPur -,Laxmipur 1,66292,0.1575757575757576,2,strict
Gorakhpur,Belghat,Wasai,Asauji,66052,0.17777777777777778,2,strict
Gorakhpur,Belghat,Raipur,Raepur,66113,0.11111111111111106,2,strict
Maharajganj,Ghughli,Bhaisi Parsiya,Baspar,76353,0.19047619047619044,2,strict
Maharajganj,Maharajganj Sadar,Badhara,Badahra Raja,268445,0.18650793650793648,2,strict
Maharajganj,Nichlaul,Jharwalia,Jharvaliya,76738,0.10370370370370369,2,strict
Kushinagar,Padrauna,Vohorapur,Bahorapur,74570,0.19576719576719587,2,strict
Kushinagar,Hata,Pipratiwari,Pipra,74254,0.18181818181818185,2,strict
Kushinagar,Sukaroli,Lehni,Sehni,74857,0.13333333333333336,2,strict
Kushinagar,Sukaroli,Benduwar,Binduar,74815,0.130952380952381,2,strict
Kushinagar,Fazilnagar,Badhara,Badurawa,74123,0.18650793650793648,2,strict
Mau,Baragaon,Vijpura,Bizpura,78296,0.19047619047619044,2,strict
Baliya,Gadwar,Kotwan,Kopwa,49930,0.17777777777777778,2,strict
Baliya,Sohaon,Sarvanapur,Shrawanpur,50466,0.17500000000000002,2,strict
Baliya,Sohaon,Mahrev,Mahrei,272585,0.11111111111111106,2,strict
Baliya,Chilakhar,Gaura,Goura,49796,0.13333333333333336,2,strict
Ghazipur,Muhammadabad,Paranpur,Arjanepur,64416,0.11574074074074082,2,strict
Ghazipur,Manihari,Para,Parava,270443,0.11111111111111122,2,strict
