sl_no,dist_name,samiti_name,gp,reservation,name,sex_manual,category,gp_new,dist_name_new,samiti_name_new
8561,S. MADHOPUR,S.MADHOPUR,SOORW AL,ST,DHARM RAJ MEENA,M,ST,soorwal,SAWAIMADHOPUR,SAWAI MADHOPUR
7644,NAGAUR,NAVAN,CHOSL A,OBC,DHARM SINGH,M,OBC,chosl a,NAGAUR,NAVAN
9421,UDAIPUR,GIRWA,POPALTI,ST,DHARMA CHAND MEENA,M,ST,popalti,UDAIPUR,GIRWA
7481,NAGAUR,MUNDW A,DIDIYAKALAN,OBC,DHARMA RAM CHANGAL,M,OBC,didiyakalan,NAGAUR,MUNDAWA
7460,NAGAUR,MERTA,KURDAYA,General,DHARMARAM,M,OBC,kurdaya,NAGAUR,MERTA
1395,BARMER,BARMER,MAHABAR,ST,DHARMARAM,M,ST,mahabar,BARMER,BARMER
532,ALWAR,NEEMRANA,BICHPURI,General (Woman),DHARMENDER,F,General (Woman),bichpuri,ALWAR,NEEMRANA
5149,JAIPUR,JHOTW ARA,MUNDIYARAMSAR,General,DHARMENDER,M,OBC,mundiyaramsar,JAIPUR,JHOTWARA
6256,JHUNJHUNU,KHETRI,SHIML A,General,DHARMENDRA,M,OBC,shiml a,JHUNJHUNU,KHETRI
7462,NAGAUR,MERTA,MERTA ROAD (PHALODI),General,DHARMENDRA,M,OBC,merta road (phalodi),NAGAUR,MERTA
1969,BHARA TPUR,KUMHER,PAHUA,General,DHARMENDRA SINGH,M,OBC,pahua,BHARATPUR,KUMHER
2220,BHILWARA,P AHADI,BARANA,SC,DHARMICHAND BALAI,M,SC,barana,BHILWARA,P AHADI
340,ALWAR,BEHROR,SHEHPUR,General,DHARMISHDA,M,OBC,shehpur,ALWAR,BEHROR
3318,CHITTORGARH,NIMBAHERA,MANDAL CHARAN,ST (Woman),DHARMISHDA,F,ST (Woman),mandal charan,CHITTORGARH,NIMBAHERA
6320,JHUNJHUNU,SURAJGARH,GHUMANSAR KALAN,OBC,DHARMPAL SINGH DARA,M,OBC,ghumansar kalan,JHUNJHUNU,SURAJGARH
2339,BHILWARA,JAHAZPUR,TITODA JAGEER,ST,DHARMRAJ BHIL,M,ST,titoda jageer,BHILWARA,JAHAZPUR
1293,BARAN,KISHANGANJ,BHANW ARGARH,General,DHARMRAJ CHOUDHARY,M,OBC,bhanwargarh,BARAN,KISHANGANJ
